x,y,z,r,g,b
34,1,51,0.4607843137254902,0.4019607843137255,0.34274509803921577
29,35,22,0.5356401384083045,0.48073817762399074,0.45420991926182247
30,35,22,0.5365196078431371,0.4806372549019608,0.4546568627450981
31,35,22,0.5273356401384082,0.47520184544405997,0.45213379469434845
48,16,33,0.538235294117647,0.4514705882352942,0.39656862745098037
32,35,22,0.5254901960784313,0.47516339869281043,0.4529411764705883
33,35,23,0.5259259259259259,0.46361655773420485,0.43093681917211335
67,8,2,0.5596638655462184,0.47422969187675074,0.4184873949579833
33,35,22,0.5087145969498911,0.4642701525054467,0.44400871459695
64,35,24,0.557516339869281,0.49215686274509807,0.46209150326797394
34,35,22,0.46928104575163365,0.44836601307189483,0.4375972611266723
35,35,25,0.4931372549019608,0.4614379084967321,0.44379084967320276
22,30,31,0.6250980392156863,0.5419607843137254,0.491764705882353
23,30,31,0.6137254901960785,0.5303921568627451,0.4813725490196078
55,14,33,0.5890196078431371,0.5270588235294118,0.4643137254901961
22,31,31,0.6176470588235294,0.5323529411764706,0.4852941176470588
23,31,31,0.611764705882353,0.5205882352941177,0.4725490196078431
23,32,31,0.6063725490196078,0.5225490196078431,0.47647058823529415
70,1,29,0.45196078431372544,0.3941176470588235,0.3362745098039216
22,32,31,0.6104575163398693,0.5274509803921569,0.48366013071895425
22,33,31,0.6137254901960785,0.530718954248366,0.48562091503267973
41,3,31,0.17871148459383754,0.16134453781512606,0.14173669467787112
24,32,31,0.5985994397759102,0.5173669467787114,0.4725490196078432
65,37,12,0.5215686274509803,0.4666666666666667,0.446498599439776
21,31,31,0.5890756302521007,0.5050420168067228,0.4577030812324931
67,11,23,0.5725490196078431,0.48061002178649237,0.42919389978213507
21,30,31,0.5831070889894419,0.5007541478129713,0.45248868778280554
71,34,13,0.5215686274509803,0.4352941176470588,0.38
22,29,31,0.6330532212885155,0.5529411764705882,0.5047619047619047
71,31,30,0.1767209011264081,0.14292866082603262,0.11464330413016267
21,29,31,0.5948400412796704,0.5183350533195733,0.4722394220846227
22,34,31,0.6117647058823531,0.5322128851540616,0.4879551820728292
38,28,31,0.584500466853408,0.5043884220354808,0.4556489262371616
25,30,31,0.5395424836601307,0.4539215686274511,0.4058823529411765
68,1,33,0.5098039215686274,0.4305882352941176,0.3764705882352941
22,28,31,0.6399999999999999,0.5599999999999999,0.5090196078431373
21,27,31,0.6490196078431373,0.5718954248366012,0.5215686274509804
54,10,2,0.6009803921568627,0.5176470588235295,0.4676470588235294
23,26,31,0.6309368191721132,0.5468409586056644,0.4962962962962963
24,25,31,0.6044817927170868,0.5165266106442578,0.4638655462184874
21,25,31,0.6490196078431373,0.5764705882352941,0.5215686274509804
20,26,31,0.6503267973856209,0.5758169934640522,0.5241830065359477
42,17,33,0.5357298474945533,0.4407407407407409,0.374074074074074
19,27,31,0.6392156862745099,0.5678431372549018,0.5109803921568628
20,27,31,0.6488413547237077,0.5757575757575756,0.5215686274509804
21,28,31,0.6274509803921569,0.5513725490196079,0.5003921568627451
20,28,31,0.5982570806100217,0.5215686274509803,0.4675381263616558
72,32,27,0.4966946778711483,0.41736694677871167,0.3641456582633055
19,28,31,0.5875222816399286,0.5073083778966132,0.4491978609625669
67,16,5,0.5928104575163399,0.4947712418300654,0.4326797385620916
25,31,31,0.5516339869281045,0.46732026143790845,0.4176470588235293
25,32,31,0.5960784313725495,0.5173060528559253,0.47450980392156816
65,10,32,0.09197860962566845,0.07807486631016042,0.07201426024955436
25,29,31,0.5803921568627451,0.4966131907308379,0.45157456922162814
21,36,28,0.5674509803921567,0.4901960784313726,0.44745098039215697
21,36,25,0.5398692810457516,0.4686274509803922,0.4313725490196078
21,36,24,0.5475490196078431,0.4759803921568628,0.43676470588235305
21,36,23,0.5372549019607843,0.4647058823529412,0.4220588235294117
21,36,32,0.5705882352941175,0.5003921568627451,0.4564705882352942
21,36,31,0.5715686274509802,0.4980392156862745,0.45539215686274515
21,29,32,0.574577417173766,0.5039891818796484,0.4609871534820826
71,28,33,0.6092436974789914,0.5327731092436975,0.4938375350140056
44,0,2,0.38039215686274513,0.33440285204991094,0.2955436720142603
21,30,32,0.5809150326797384,0.5027450980392156,0.4569934640522877
21,33,32,0.5823529411764705,0.5044117647058823,0.45833333333333337
26,36,22,0.6019607843137254,0.523921568627451,0.4870588235294117
29,36,22,0.5972549019607842,0.5192156862745099,0.48392156862745095
56,34,28,0.425430778371955,0.3831253713606655,0.35662507427213314
30,36,22,0.5957219251336897,0.5180035650623886,0.4834224598930481
32,36,22,0.5960784313725489,0.5176470588235295,0.48270944741532973
67,7,5,0.5411764705882353,0.4453781512605043,0.37815126050420167
23,36,22,0.5987933634992457,0.5215686274509804,0.4841628959276018
67,24,20,0.6,0.5014705882352941,0.4240196078431372
24,36,22,0.6019607843137255,0.5235294117647059,0.48676470588235293
55,1,47,0.4258823529411765,0.3756862745098039,0.32235294117647056
25,36,22,0.6021786492374727,0.5250544662309369,0.4867102396514161
30,21,31,0.6036414565826329,0.5117647058823529,0.4621848739495799
22,36,22,0.5965686274509804,0.5215686274509804,0.48480392156862745
35,38,23,0.586096256684492,0.5040998217468805,0.46951871657754013
35,38,24,0.5905882352941176,0.5094117647058823,0.47215686274509805
35,37,25,0.5751633986928104,0.5032679738562091,0.4649237472766885
37,23,31,0.5747058823529415,0.4789215686274508,0.43196078431372553
35,36,25,0.557422969187675,0.4882352941176471,0.44957983193277323
35,35,24,0.49131652661064423,0.4560224089635855,0.4375350140056022
35,35,23,0.480392156862745,0.45359477124183006,0.4379084967320262
35,36,24,0.5498039215686273,0.4796078431372549,0.4431372549019609
35,37,26,0.5948717948717946,0.5224736048265459,0.48612368024132735
35,38,21,0.5649673202614378,0.49333333333333335,0.45751633986928114
40,31,31,0.6018755328218242,0.5169650468883205,0.47246376811594204
35,40,23,0.5907308377896613,0.5094474153297682,0.47807486631016044
59,23,31,0.6183257918552041,0.5365761689291108,0.48499245852187
35,40,22,0.5886480908152734,0.5050567595459237,0.47512899896800825
73,30,26,0.5753501400560226,0.4906816059757233,0.44018674136321173
35,38,20,0.5465855307640304,0.49100743745774156,0.45943204868154097
35,41,20,0.5446691176470596,0.4894607843137247,0.46323529411764636
36,39,20,0.5899782135076252,0.5193899782135076,0.4745098039215686
36,40,20,0.5836601307189542,0.5130718954248366,0.4686274509803922
35,3,31,0.1843137254901961,0.16470588235294117,0.1411764705882353
37,40,20,0.5827450980392156,0.5118954248366012,0.46928104575163404
67,16,16,0.5947712418300654,0.5019607843137255,0.43529411764705883
